County,PrecinctName,HILLARY CLINTON,DONALD TRUMP,GARY JOHNSON,JILL STEIN,EVAN MCMULLIN,DARRELL CASTLE,TOM HOEFLING,LAURENCE KOTLIKOFF,JAMES ANDERSON,Phillip Seeberg,MARSHALL SCHOENKE,KEVIN MCKEE,JOSEPH MALDONADO,JOANN BREIVOGEL,LAIO MORRIS,DAVID STACK,Matthew Roberts,JONATHAN LEE,BEN HARTNELL,AUTHOR BRUMFIELD,DUFF SMITH,ROY TYREE,CHERUNDA FOX,TIMOTHY MELUCH,Nathan Johnson,JAMES STRUCK,MARK HARPER,DEM WYSINGER,DAVID FORMHALS,JIM BROWN,SHEILA BOLAR,EDWARD LEARNER,JAMES MITCHELL,MARY VANN,ROBERT LANIER,Scott Bradley,SUSANA SANDOVAL,Total
Adams ,,,,,,60,4,0,0,,,0,,0,0,0,,,,,,0,,,,,,,,,,0,0,0,,,0,,64
Adams ,BEVERLY,18,150,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Adams ,BURTON,60,455,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527
Adams ,CAMP POINT PCT 1,69,331,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415
Adams ,CAMP POINT PCT 2,47,376,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434
Adams ,CLAYTON,76,359,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446
Adams ,COLUMBUS,35,284,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331
Adams ,CONCORD,19,83,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
Adams ,ELLINGTON PCT 1,91,460,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568
Adams ,ELLINGTON PCT 2,118,450,26,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602
Adams ,ELLINGTON PCT 3,96,353,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467
Adams ,FALL CREEK,49,242,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302
Adams ,GILMER,74,512,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615
Adams ,HONEY CREEK,67,322,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410
Adams ,HOUSTON,16,112,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
Adams ,KEENE,57,250,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313
Adams ,LIBERTY,102,602,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715
Adams ,LIMA,44,221,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274
Adams ,MCKEE,13,92,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
Adams ,MELROSE PCT 1,89,394,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505
Adams ,MELROSE PCT 2,150,524,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705
Adams ,MELROSE PCT 3,111,403,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527
Adams ,MELROSE PCT 4,76,319,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404
Adams ,MELROSE PCT 5,82,312,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410
Adams ,MELROSE PCT 6,123,384,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528
Adams ,MENDON PCT 1,38,293,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341
Adams ,MENDON PCT 2,73,320,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403
Adams ,NORTHEAST,72,350,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444
Adams ,PAYSON PCT 1,109,412,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542
Adams ,PAYSON PCT 2,42,233,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284
Adams ,QUINCY 1,137,302,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460
Adams ,QUINCY 10,72,164,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
Adams ,QUINCY 11,116,281,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423
Adams ,QUINCY 12,124,268,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413
Adams ,QUINCY 13,103,236,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358
Adams ,QUINCY 14,148,179,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348
Adams ,QUINCY 15,159,387,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579
Adams ,QUINCY 16,165,362,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562
Adams ,QUINCY 17,144,310,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479
Adams ,QUINCY 18,147,429,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596
Adams ,QUINCY 19,55,101,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162
Adams ,QUINCY 2,134,262,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418
Adams ,QUINCY 20,169,328,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534
Adams ,QUINCY 21,176,364,27,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576
Adams ,QUINCY 22,169,305,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495
Adams ,QUINCY 23,133,261,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405
Adams ,QUINCY 24,126,519,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667
Adams ,QUINCY 25,215,470,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708
Adams ,QUINCY 26,128,355,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505
Adams ,QUINCY 27,156,440,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623
