SUMLEV,STATE,COUNTY,TRACT,GEOID10,INTPTLAT,INTPTLON,P0010001
140,17,001,010300,17001010300,+39.8391488,-090.9269330,0
140,17,001,000100,17001000100,+39.9494928,-091.3524345,4627
140,17,001,000201,17001000201,+39.9561156,-091.3866911,1986
140,17,001,000202,17001000202,+39.9417364,-091.3856554,2999
140,17,001,000400,17001000400,+39.9524634,-091.4096233,4322
140,17,001,000500,17001000500,+39.9435819,-091.3985437,2337
140,17,001,000600,17001000600,+39.9312981,-091.3825672,3718
140,17,001,000700,17001000700,+39.9325684,-091.4079983,1481
140,17,001,000800,17001000800,+39.9166430,-091.4120040,2711
140,17,001,000900,17001000900,+39.9155218,-091.3996396,2573
140,17,001,001001,17001001001,+39.9210276,-091.3851084,3391
140,17,001,001002,17001001002,+39.9088679,-091.3876324,3223
140,17,001,001100,17001001100,+39.9153086,-091.3577026,7257
140,17,001,010100,17001010100,+40.1138124,-091.3281543,4451
140,17,001,010200,17001010200,+40.1081128,-091.0341343,3720
140,17,001,010300,17001010300,+39.8818992,-091.0687749,5890
140,17,001,010400,17001010400,+39.9817277,-091.2573158,3553
140,17,001,010500,17001010500,+39.9991475,-091.4212596,2989
140,17,001,010600,17001010600,+39.8536482,-091.3329959,5875
140,17,003,957600,17003957600,+37.2938687,-089.3521563,2928
140,17,003,957700,17003957700,+37.1322588,-089.3422085,2172
140,17,003,957800,17003957800,+37.0610007,-089.2058275,1528
140,17,003,957900,17003957900,+36.9879616,-089.1636803,1610
140,17,005,951200,17005951200,+38.9687817,-089.3645755,3216
140,17,005,951300,17005951300,+38.8863177,-089.3901103,6958
140,17,005,951400,17005951400,+38.9243591,-089.5379748,3146
140,17,005,951500,17005951500,+38.8040049,-089.3970644,4448
140,17,007,010100,17007010100,+42.2675556,-088.8523167,8562
140,17,007,010200,17007010200,+42.2487471,-088.8324850,6105
140,17,007,010300,17007010300,+42.2437960,-088.8515316,6631
140,17,007,010400,17007010400,+42.2035845,-088.8275388,6841
140,17,007,010500,17007010500,+42.3018251,-088.8149926,10185
140,17,007,010601,17007010601,+42.4228772,-088.8092898,3859
140,17,007,010602,17007010602,+42.3685178,-088.8852332,11982
140,17,009,970400,17009970400,+39.9720840,-090.7145357,2606
140,17,009,970500,17009970500,+39.9764122,-090.7567396,4331
140,17,011,964700,17011964700,+41.5301448,-089.3248596,3072
140,17,011,964800,17011964800,+41.4918208,-089.6937318,3496
140,17,011,964900,17011964900,+41.4381249,-089.4587302,2815
140,17,011,965000,17011965000,+41.3806062,-089.3207034,4078
140,17,011,965100,17011965100,+41.3704558,-089.1953291,4152
140,17,011,965200,17011965200,+41.3238324,-089.2157830,3600
140,17,011,965300,17011965300,+41.3965120,-089.4590526,3429
140,17,011,965400,17011965400,+41.3550908,-089.4517449,3549
140,17,011,965500,17011965500,+41.2626770,-089.5438316,3759
140,17,011,965600,17011965600,+41.3202415,-089.7471407,3028
140,17,013,951200,17013951200,+39.3045055,-090.7107941,2681
140,17,013,951300,17013951300,+39.0147115,-090.6240183,2408
140,17,015,960100,17015960100,+42.1462688,-089.7990338,3578
140,17,015,960200,17015960200,+42.1217019,-090.0799984,2165
140,17,015,960300,17015960300,+42.0941537,-090.1402749,3176
140,17,015,960400,17015960400,+42.0632219,-089.9489340,2234
140,17,015,960500,17015960500,+42.0166445,-089.7728472,2636
140,17,015,960600,17015960600,+41.9676086,-090.0138414,1598
140,17,017,960100,17017960100,+39.9767511,-090.0699742,2403
140,17,017,960200,17017960200,+39.9458885,-090.2316388,2655
140,17,017,960300,17017960300,+39.9892029,-090.3735631,3294
140,17,017,960400,17017960400,+40.0056055,-090.4354225,2548
140,17,017,960500,17017960500,+40.0275631,-090.4151785,2742
140,17,019,000200,17019000200,+40.1242035,-088.2329099,1693
140,17,019,000301,17019000301,+40.1108444,-088.2362187,4819
